_sourceID;_targetID;_relType;_nbCommunications
TEL2_PERS1;TESDMGAHANJRDRFO@Instagram;UserAccountAssociation;
TEL2_PERS1;STACHKFUWSOCTPFJRXC@Instagram;UserAccountAssociation;
TEL2_PERS1;512SVXNDY;UserAccountAssociation;
TEL2_PERS1;706CMENCXT@Facebook;UserAccountAssociation;
TEL2_PERS1;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL2_PERS1;234WQSQWEYYWI;UserAccountAssociation;
TEL2_PERS1;EZEWBPQRVAIPP@gmail.com@Facebook;UserAccountAssociation;
TEL2_PERS1;629NSTVM;UserAccountAssociation;
TEL2_PERS1;417IBRGCUKC@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL2_PERS1;417IBRGCUKC;UserAccountAssociation;
TEL2_PERS1;WWWHFCVYWERNMABT@gmail.com@Facebook;UserAccountAssociation;
TEL2_PERS1;706CMENCXT@Instagram;UserAccountAssociation;
TEL2_PERS1;100MLFTYEIOOXER@Facebook;UserAccountAssociation;
TEL2_PERS1;221IZPNQBW@Instagram;UserAccountAssociation;
TEL2_PERS1;101BQJKPLSPNNQRM@imo;UserAccountAssociation;
TEL3_PERS1;779JIOVFQ;UserAccountAssociation;
TEL3_PERS1;108FAHHTMH@Telegram;UserAccountAssociation;
TEL3_PERS1;779XWWTHU;UserAccountAssociation;
TEL3_PERS1;417MFIHHYDH@Viber;UserAccountAssociation;
TEL3_PERS1;417MFIHHYDH;UserAccountAssociation;
TEL3_PERS1;234ESYIBKUCNG@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL4_PERS1;424IOFLF;UserAccountAssociation;
TEL4_PERS1;STAMSVVYNSBXCW@gmail.com@Google+;UserAccountAssociation;
TEL4_PERS1;1,0RUBWZXPDHSEWMNBUO@Google+;UserAccountAssociation;
TEL4_PERS1;234UQUZDBEJUK@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL4_PERS1;234UQUZDBEJUK;UserAccountAssociation;
TEL4_PERS1;UQUZDBEJUK;UserAccountAssociation;
TEL4_PERS1;234JVTITOYIGH@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL4_PERS1;693RANTST;UserAccountAssociation;
TEL3_PERS1;417AALRYFUA;UserAccountAssociation;
141OJSXYWIV@s.whatsapp.net@WhatsApp;141OJSXYWIV@s.whatsapp.net@WhatsApp;Communication;17
141OJSXYWIV@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;34
144BLHZPUFQ@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;2
183VICNRIPE@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;1
212DNAKYZRVK@s.whatsapp.net@WhatsApp;417CYUCUQFV@s.whatsapp.net@WhatsApp;Communication;18
218LXKXKKWQH@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;32
220BXWXJVR@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220CISJYMO@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220CPATGGH@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220FIBJNGX@s.whatsapp.net@WhatsApp;220FIBJNGX@s.whatsapp.net@WhatsApp;Communication;107
220FIBJNGX@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;26
220GFRDFCB@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220HHFJJOX@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220HXHMAZD@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;3
220IOARVHP@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;3
220LSKZWPI@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;12
220NGYINWP@s.whatsapp.net@WhatsApp;220NGYINWP@s.whatsapp.net@WhatsApp;Communication;394
220NGYINWP@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;37
220NZXCQZP@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;2
220RSVQASZ@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;45
220TLSHWEN@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;17
220USKDLBS@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220VDOXQWN@s.whatsapp.net@WhatsApp;220VDOXQWN@s.whatsapp.net@WhatsApp;Communication;1
220VDOXQWN@s.whatsapp.net@WhatsApp;234UQUZDBEJUK@s.whatsapp.net@WhatsApp;Communication;17
220VDOXQWN@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;50
220VGDJPIJ@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220VGRJLIT@s.whatsapp.net@WhatsApp;212IHAJFOWXR@s.whatsapp.net@WhatsApp;Communication;1
220VGRJLIT@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220XOJCPNI@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
220ZQUVRCO@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;31
221IDWBFMPQE@s.whatsapp.net@WhatsApp;221IDWBFMPQE@s.whatsapp.net@WhatsApp;Communication;13
221IDWBFMPQE@s.whatsapp.net@WhatsApp;417CYUCUQFV@s.whatsapp.net@WhatsApp;Communication;16
221IDWBFMPQE@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;537
221KABMGINJJ@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;154
221ZBLCRPJSR@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;1
229KJNVLSNL@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;1
229XDKTQNTL@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;6
231MZZPHBOCR@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;72
232QAVXNELF@s.whatsapp.net@WhatsApp;232QAVXNELF@s.whatsapp.net@WhatsApp;Communication;13
232QAVXNELF@s.whatsapp.net@WhatsApp;417CYUCUQFV@s.whatsapp.net@WhatsApp;Communication;452
233EJRMYWSFQ@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;4
233QBCIRZBVB@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;28
233STBHCASMX@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;25
234ADFAJAUHJA@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;6
234AEWJVNMIYJ@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;190
234AEWJVNMIYJ@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;220
234AEWJVNMIYJ@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;96
234AEXHOMGRTP@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;30
234AFDWUSYWTQ@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;5
234ATKVMCTZHL@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;4
234BBUDBNTHRS@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;180
234BEMLPJVLSO@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;11
234BJTPQLMMSE@s.whatsapp.net@WhatsApp;234UQUZDBEJUK@s.whatsapp.net@WhatsApp;Communication;1
234CAUJBLNRMT@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;52
234CDHCWDDCRI@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;4
234CNCIQPUKQG@s.whatsapp.net@WhatsApp;234ESYIBKUCNG@s.whatsapp.net@WhatsApp;Communication;12
234CNCIQPUKQG@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;132
234CNCIQPUKQG@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;1
234DLTWEIWASB@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;79
234DXLQAAQLUI@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;7
234EDTYHIZSXF@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;2
234EKPRBJTQBJ@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;23
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234AEWJVNMIYJ@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234BBUDBNTHRS@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234CNCIQPUKQG@s.whatsapp.net@WhatsApp;Communication;19
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234JGDVTDXQPP@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234LMKDEJDCAD@s.whatsapp.net@WhatsApp;Communication;3
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234LWTNIELWKV@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234NALRHLNLYH@s.whatsapp.net@WhatsApp;Communication;18
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234SBCXVRCTVE@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234SWRDHXRGEM@s.whatsapp.net@WhatsApp;Communication;2
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;234VCDWYSNISC@s.whatsapp.net@WhatsApp;Communication;4
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;337ALCHPFOF@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;337BDNCLOAG@s.whatsapp.net@WhatsApp;Communication;9
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;337VGZTVDGG@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;346UQMVXDCH@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;393GFKDVUEAM@s.whatsapp.net@WhatsApp;Communication;3
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;393MWUATRYKP@s.whatsapp.net@WhatsApp;Communication;2
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;393VUEHRGRJB@s.whatsapp.net@WhatsApp;Communication;3
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417DOEPTOJA@s.whatsapp.net@WhatsApp;Communication;2
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417DRAYWTPY@s.whatsapp.net@WhatsApp;Communication;2
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417ENZMWBQS@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417GLBQTPXH@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;19
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417KGUQEGTJ@s.whatsapp.net@WhatsApp;Communication;7
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417ULTUDZOV@s.whatsapp.net@WhatsApp;Communication;3
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417WKZGQUZJ@s.whatsapp.net@WhatsApp;Communication;1
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417YRTIHDDZ@s.whatsapp.net@WhatsApp;Communication;2
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417ZBAPDZTU@s.whatsapp.net@WhatsApp;Communication;12
234ESYIBKUCNG@s.whatsapp.net@WhatsApp;417ZBJXJWAB@s.whatsapp.net@WhatsApp;Communication;1
234EVWOJTQAOM@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;25
234FDXHXKJONC@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;9
234FMLCOQVDIV@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;125
234FMOAKZPPNN@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;1
234FQLWKHOCWI@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;1
234GADWAZAITK@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;5
234GEHKOHQLXH@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;50
234GNGJLTMWDD@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;4
234HBTZIHMWUN@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;2
234HMFLTMGUBB@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;1
234HUCVJEZLRN@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;3
234HZNJWKVOAL@s.whatsapp.net@WhatsApp;234HZNJWKVOAL@s.whatsapp.net@WhatsApp;Communication;25
234HZNJWKVOAL@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;152
234IPRKWVMDUX@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;6
234ISWALHBNYD@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;10
234JAKUSUTQVA@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;21
234JBFYUKGGLC@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;16
234JGDVTDXQPP@s.whatsapp.net@WhatsApp;234JGDVTDXQPP@s.whatsapp.net@WhatsApp;Communication;35
234JGDVTDXQPP@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;247
234JIFRXTZDUH@s.whatsapp.net@WhatsApp;417LXRBLDSQ@s.whatsapp.net@WhatsApp;Communication;19
234JKNVRBRQZS@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;2
234JQLFFXAZEF@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;1
234JRKIZDVGSX@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;6
234JUMGZIJDUD@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;6
234JVTITOYIGH@s.whatsapp.net@WhatsApp;234HBUTLMBQVG@s.whatsapp.net@WhatsApp;Communication;1
234JVTITOYIGH@s.whatsapp.net@WhatsApp;234JGDVTDXQPP@s.whatsapp.net@WhatsApp;Communication;5
234JVTITOYIGH@s.whatsapp.net@WhatsApp;234JVTITOYIGH@s.whatsapp.net@WhatsApp;Communication;6
234JVTITOYIGH@s.whatsapp.net@WhatsApp;234RDKMLBWRYM@s.whatsapp.net@WhatsApp;Communication;1
234JVTITOYIGH@s.whatsapp.net@WhatsApp;234WQSQWEYYWI@s.whatsapp.net@WhatsApp;Communication;14
234JVTITOYIGH@s.whatsapp.net@WhatsApp;393KJIYQZKRE@s.whatsapp.net@WhatsApp;Communication;2
234JVTITOYIGH@s.whatsapp.net@WhatsApp;393KRNKABBEB@s.whatsapp.net@WhatsApp;Communication;1
234JVTITOYIGH@s.whatsapp.net@WhatsApp;393MWUATRYKP@s.whatsapp.net@WhatsApp;Communication;19
234JVTITOYIGH@s.whatsapp.net@WhatsApp;393QZXFRFOYD@s.whatsapp.net@WhatsApp;Communication;1
234JVTITOYIGH@s.whatsapp.net@WhatsApp;393SIACUAGHO@s.whatsapp.net@WhatsApp;Communication;3
234JVTITOYIGH@s.whatsapp.net@WhatsApp;393XFYVAXUFU@s.whatsapp.net@WhatsApp;Communication;13
234JVTITOYIGH@s.whatsapp.net@WhatsApp;417ETPQJJCQ@s.whatsapp.net@WhatsApp;Communication;13
234JVTITOYIGH@s.whatsapp.net@WhatsApp;417FUHQNWXK@s.whatsapp.net@WhatsApp;Communication;1
234JVTITOYIGH@s.whatsapp.net@WhatsApp;417IBRGCUKC@s.whatsapp.net@WhatsApp;Communication;891
234JYLCFESGDE@s.whatsapp.net@WhatsApp;231MZZPHBOCR@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;233EJRMYWSFQ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;233QBCIRZBVB@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234AAVBAZECPY@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234AEWJVNMIYJ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234AFDWUSYWTQ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234AVNLKMUXME@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234BIWUNEINDA@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234BORGZRVEPY@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234FDSFIIRODM@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234GADWAZAITK@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234GGXNISTAMM@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234GNGJLTMWDD@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234GQDBIFGJYC@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234HUCVJEZLRN@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234JRKIZDVGSX@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234JUMGZIJDUD@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234JYLCFESGDE@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234KILICKCMRJ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234LNPRFFMLFQ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234OIQRCIWZPP@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234QMPFWHMMDL@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234QRKOUBVKBR@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234RKFSGBNWQL@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234SDAXYPNBXX@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234SLSGXZXSGR@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234TKJQFFKJQJ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234TQFYIGXYWQ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234VAKKXRBKHC@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234VJVTZSOSHZ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234VLFQBRDPJI@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234WFSVBIDSWF@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234WKPAQZWHOL@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234ZAHWXVAQLG@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;234ZLAFDCRLIG@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;306WTSWKKNNR@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;316LBGTNBLU@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;336JXLCWLXX@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;337BDNCLOAG@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;337HGLWHZDX@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;351HXFBUMTGT@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;351VCJOIZTOG@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393AORHWYWHD@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393CISDNCJXO@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393CYZQBYROT@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393FIPDFPUZL@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393GFKDVUEAM@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393GISFOHEVI@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393GMRNTWPSM@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393GSLAVEWQC@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393HWGIMAIIS@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393INHPERUNJ@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393MAWZURAPG@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393NODIIXYFU@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393OYIMGWDOC@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393RXADPAMDI@s.whatsapp.net@WhatsApp;Communication;1
234JYLCFESGDE@s.whatsapp.net@WhatsApp;393UNLOZPMFY@s.whatsapp.net@WhatsApp;Communication;1
